Candidate 0000121SAMUEL KWONG                                      0000001000000900
Candidate 0000131TIM E. DONNELLY                                   0000001000001000
Candidate 0000133DEAN PRESTON                                      0000001000001100
Candidate 0000135JOEL ENGARDIO                                     0000001000001200
Candidate 0000140MELISSA SAN MIGUEL                                0000001000001300
Candidate 0000144AHSHA SAFAI                                       0000001000001400
Candidate 0000122SHERMAN R. D'SILVA                                0000002000000900
Candidate 0000132AARON PESKIN                                      0000002000001000
Candidate 0000134LONDON BREED                                      0000002000001100
Candidate 0000136JOHN FARRELL                                      0000002000001200
Candidate 0000141HILLARY RONEN                                     0000002000001300
Candidate 0000145MAGDALENA DE GUZMAN                               0000002000001400
Candidate 0000003WRITE-IN                                          0000003000001010
Candidate 0000004WRITE-IN                                          0000003000001110
Candidate 0000123MARJAN PHILHOUR                                   0000003000000900
Candidate 0000137MIKE YOUNG                                        0000003000001200
Candidate 0000142ISWARI ESPAÑA                                     0000003000001300
Candidate 0000146FRANCISCO HERRERA                                 0000003000001400
Candidate 0000124RICHIE GREENBERG                                  0000004000000900
Candidate 0000138NORMAN YEE                                        0000004000001200
Candidate 0000143JOSHUA ARCE                                       0000004000001300
Candidate 0000147BERTA HERNANDEZ                                   0000004000001400
Candidate 0000006WRITE-IN                                          0000005000001310
Candidate 0000125DAVID LEE                                         0000005000000900
Candidate 0000139BEN MATRANGA                                      0000005000001200
Candidate 0000148KIM ALVARENGA                                     0000005000001400
Precinct  0000087Pct 7045                                          0000087000000000
Precinct  0000088Pct 7046                                          0000088000000000
Precinct  0000089Pct 7047                                          0000089000000000
Precinct  0000090Pct 7048                                          0000090000000000
Precinct  0000091Pct 7049                                          0000091000000000
Precinct  0000092Pct 7051                                          0000092000000000
Precinct  0000093Pct 7052                                          0000093000000000
Precinct  0000094Pct 7053                                          0000094000000000
Precinct  0000095Pct 7054                                          0000095000000000
Precinct  0000096Pct 7101 MB                                       0000096000000000
Precinct  0000097Pct 7201                                          0000097000000000
Precinct  0000098Pct 7202                                          0000098000000000
Precinct  0000099Pct 7203                                          0000099000000000
Precinct  0000100Pct 7204                                          0000100000000000
Precinct  0000101Pct 7205                                          0000101000000000
Precinct  0000102Pct 7206                                          0000102000000000
Precinct  0000103Pct 7207                                          0000103000000000
Precinct  0000104Pct 7208                                          0000104000000000
Precinct  0000105Pct 7209                                          0000105000000000
Precinct  0000106Pct 7301                                          0000106000000000
Precinct  0000107Pct 7302                                          0000107000000000
Precinct  0000108Pct 7303                                          0000108000000000
Precinct  0000109Pct 7304                                          0000109000000000
Precinct  0000110Pct 7305                                          0000110000000000
Precinct  0000111Pct 7306                                          0000111000000000
Precinct  0000112Pct 7307                                          0000112000000000
Precinct  0000113Pct 7308                                          0000113000000000
Precinct  0000114Pct 7309                                          0000114000000000
Precinct  0000115Pct 7311                                          0000115000000000
Precinct  0000116Pct 7312                                          0000116000000000
Precinct  0000117Pct 7313                                          0000117000000000
Precinct  0000118Pct 7314                                          0000118000000000
Precinct  0000119Pct 7315                                          0000119000000000
Precinct  0000120Pct 7316                                          0000120000000000
Precinct  0000121Pct 7317                                          0000121000000000
Precinct  0000122Pct 7318                                          0000122000000000
Precinct  0000123Pct 7319                                          0000123000000000
Precinct  0000124Pct 7321                                          0000124000000000
Precinct  0000125Pct 7322                                          0000125000000000
Precinct  0000126Pct 7323                                          0000126000000000
Precinct  0000127Pct 7324                                          0000127000000000
Precinct  0000128Pct 7325                                          0000128000000000
Precinct  0000129Pct 7326                                          0000129000000000
Precinct  0000130Pct 7327                                          0000130000000000
Precinct  0000131Pct 7328                                          0000131000000000
Precinct  0000132Pct 7329                                          0000132000000000
Precinct  0000133Pct 7331                                          0000133000000000
Precinct  0000134Pct 7332                                          0000134000000000
Precinct  0000135Pct 7333                                          0000135000000000
Precinct  0000136Pct 7334                                          0000136000000000
Precinct  0000137Pct 7335                                          0000137000000000
Precinct  0000138Pct 7336                                          0000138000000000
Precinct  0000139Pct 7337                                          0000139000000000
Precinct  0000140Pct 7338                                          0000140000000000
Precinct  0000141Pct 7339                                          0000141000000000
Precinct  0000142Pct 7341                                          0000142000000000
Precinct  0000143Pct 7342                                          0000143000000000
Precinct  0000144Pct 7343                                          0000144000000000
Precinct  0000145Pct 7344                                          0000145000000000
Precinct  0000146Pct 7345                                          0000146000000000
Precinct  0000147Pct 7346                                          0000147000000000
Precinct  0000148Pct 7347                                          0000148000000000
Precinct  0000149Pct 7348                                          0000149000000000
Precinct  0000150Pct 7349                                          0000150000000000
Precinct  0000151Pct 7501                                          0000151000000000
Precinct  0000152Pct 7502                                          0000152000000000
Precinct  0000153Pct 7503                                          0000153000000000
Precinct  0000154Pct 7504                                          0000154000000000
Precinct  0000155Pct 7505                                          0000155000000000
Precinct  0000156Pct 7506                                          0000156000000000
Precinct  0000157Pct 7507                                          0000157000000000
Precinct  0000158Pct 7508                                          0000158000000000
Precinct  0000159Pct 7509/7511                                     0000159000000000
Precinct  0000160Pct 7512                                          0000160000000000
Precinct  0000161Pct 7513                                          0000161000000000
Precinct  0000162Pct 7514                                          0000162000000000
Precinct  0000163Pct 7515                                          0000163000000000
Precinct  0000164Pct 7516                                          0000164000000000
Precinct  0000165Pct 7517                                          0000165000000000
Precinct  0000166Pct 7518                                          0000166000000000
Precinct  0000167Pct 7519                                          0000167000000000
Precinct  0000168Pct 7521                                          0000168000000000
Precinct  0000169Pct 7522                                          0000169000000000
Precinct  0000170Pct 7523                                          0000170000000000
Precinct  0000171Pct 7524                                          0000171000000000
Precinct  0000172Pct 7525                                          0000172000000000
Precinct  0000173Pct 7526                                          0000173000000000
Precinct  0000174Pct 7527/7528                                     0000174000000000
Precinct  0000175Pct 7529                                          0000175000000000
Precinct  0000176Pct 7531                                          0000176000000000
Precinct  0000177Pct 7532                                          0000177000000000
Precinct  0000178Pct 7533                                          0000178000000000
Precinct  0000179Pct 7534                                          0000179000000000
Precinct  0000180Pct 7535                                          0000180000000000
Precinct  0000181Pct 7536                                          0000181000000000
Precinct  0000182Pct 7537                                          0000182000000000
Precinct  0000183Pct 7538                                          0000183000000000
Precinct  0000184Pct 7539                                          0000184000000000
Precinct  0000185Pct 7541                                          0000185000000000
Precinct  0000186Pct 7542                                          0000186000000000
Precinct  0000187Pct 7543                                          0000187000000000
Precinct  0000188Pct 7544                                          0000188000000000
Precinct  0000189Pct 7545                                          0000189000000000
Precinct  0000190Pct 7546                                          0000190000000000
Precinct  0000191Pct 7547                                          0000191000000000
Precinct  0000192Pct 7548                                          0000192000000000
Precinct  0000193Pct 7549                                          0000193000000000
Precinct  0000194Pct 7551                                          0000194000000000
Precinct  0000195Pct 7552                                          0000195000000000
Precinct  0000196Pct 7553 MB                                       0000196000000000
Precinct  0000197Pct 7554                                          0000197000000000
Precinct  0000198Pct 7555                                          0000198000000000
Precinct  0000199Pct 7556/7557                                     0000199000000000
Precinct  0000200Pct 7601                                          0000200000000000
Precinct  0000201Pct 7602                                          0000201000000000
Precinct  0000202Pct 7603                                          0000202000000000
Precinct  0000203Pct 7604                                          0000203000000000
Precinct  0000204Pct 7605                                          0000204000000000
Precinct  0000205Pct 7606                                          0000205000000000
Precinct  0000206Pct 7607                                          0000206000000000
Precinct  0000207Pct 7608                                          0000207000000000
Precinct  0000208Pct 7609                                          0000208000000000
Precinct  0000209Pct 7611                                          0000209000000000
Precinct  0000210Pct 7612                                          0000210000000000
Precinct  0000211Pct 7613                                          0000211000000000
Precinct  0000212Pct 7614                                          0000212000000000
Precinct  0000213Pct 7615                                          0000213000000000
Precinct  0000214Pct 7616                                          0000214000000000
Precinct  0000215Pct 7617                                          0000215000000000
Precinct  0000216Pct 7618                                          0000216000000000
Precinct  0000217Pct 7619                                          0000217000000000
Precinct  0000218Pct 7621                                          0000218000000000
Precinct  0000219Pct 7622                                          0000219000000000
Precinct  0000220Pct 7623                                          0000220000000000
Precinct  0000221Pct 7624                                          0000221000000000
Precinct  0000222Pct 7625                                          0000222000000000
Precinct  0000223Pct 7626                                          0000223000000000
Precinct  0000224Pct 7627                                          0000224000000000
Precinct  0000225Pct 7628                                          0000225000000000
Precinct  0000226Pct 7629                                          0000226000000000
Precinct  0000227Pct 7631                                          0000227000000000
Precinct  0000228Pct 7632                                          0000228000000000
Precinct  0000229Pct 7633                                          0000229000000000
Precinct  0000230Pct 7634                                          0000230000000000
Precinct  0000231Pct 7635                                          0000231000000000
Precinct  0000232Pct 7636                                          0000232000000000
Precinct  0000233Pct 7637                                          0000233000000000
Precinct  0000234Pct 7638                                          0000234000000000
Precinct  0000235Pct 7639                                          0000235000000000
Precinct  0000236Pct 7641                                          0000236000000000
Precinct  0000237Pct 7642                                          0000237000000000
Precinct  0000238Pct 7643                                          0000238000000000
Precinct  0000239Pct 7644                                          0000239000000000
Precinct  0000240Pct 7645                                          0000240000000000
Precinct  0000241Pct 7646                                          0000241000000000
Precinct  0000242Pct 7647                                          0000242000000000
Precinct  0000243Pct 7648 MB                                       0000243000000000
Precinct  0000244Pct 7701                                          0000244000000000
Precinct  0000245Pct 7702                                          0000245000000000
Precinct  0000246Pct 7703 MB                                       0000246000000000
Precinct  0000247Pct 7704                                          0000247000000000
Precinct  0000248Pct 7705                                          0000248000000000
Precinct  0000249Pct 7706                                          0000249000000000
Precinct  0000250Pct 7707                                          0000250000000000
Precinct  0000251Pct 7708                                          0000251000000000
Precinct  0000252Pct 7709                                          0000252000000000
Precinct  0000253Pct 7711                                          0000253000000000
Precinct  0000254Pct 7712                                          0000254000000000
Precinct  0000255Pct 7801                                          0000255000000000
Precinct  0000256Pct 7802                                          0000256000000000
Precinct  0000257Pct 7803                                          0000257000000000
Precinct  0000258Pct 7804                                          0000258000000000
Precinct  0000259Pct 7805                                          0000259000000000
Precinct  0000260Pct 7806                                          0000260000000000
Precinct  0000261Pct 7807                                          0000261000000000
Precinct  0000262Pct 7808                                          0000262000000000
Precinct  0000263Pct 7809                                          0000263000000000
Precinct  0000264Pct 7811                                          0000264000000000
Precinct  0000265Pct 7812                                          0000265000000000
Precinct  0000266Pct 7813                                          0000266000000000
Precinct  0000267Pct 7814                                          0000267000000000
Precinct  0000268Pct 7815                                          0000268000000000
Precinct  0000269Pct 7816                                          0000269000000000
Precinct  0000270Pct 7817                                          0000270000000000
Precinct  0000271Pct 7818                                          0000271000000000
Precinct  0000272Pct 7819                                          0000272000000000
Precinct  0000273Pct 7821                                          0000273000000000
Precinct  0000274Pct 7822                                          0000274000000000
Precinct  0000275Pct 7823                                          0000275000000000
Precinct  0000276Pct 7824                                          0000276000000000
Precinct  0000277Pct 7825                                          0000277000000000
Precinct  0000278Pct 7826                                          0000278000000000
Precinct  0000279Pct 7827                                          0000279000000000
Precinct  0000280Pct 7828                                          0000280000000000
Precinct  0000281Pct 7829                                          0000281000000000
Precinct  0000282Pct 7831                                          0000282000000000
Precinct  0000283Pct 7832                                          0000283000000000
Precinct  0000284Pct 7833                                          0000284000000000
Precinct  0000285Pct 7834                                          0000285000000000
Precinct  0000286Pct 7835                                          0000286000000000
Precinct  0000287Pct 7836                                          0000287000000000
Precinct  0000288Pct 7837                                          0000288000000000
Precinct  0000289Pct 7838                                          0000289000000000
Precinct  0000290Pct 7839                                          0000290000000000
Precinct  0000291Pct 7841                                          0000291000000000
Precinct  0000292Pct 7842                                          0000292000000000
Precinct  0000293Pct 7843                                          0000293000000000
Precinct  0000294Pct 7844                                          0000294000000000
Precinct  0000295Pct 7845                                          0000295000000000
Precinct  0000296Pct 7846                                          0000296000000000
Precinct  0000297Pct 7847                                          0000297000000000
Precinct  0000298Pct 7848                                          0000298000000000
Precinct  0000299Pct 7849                                          0000299000000000
Precinct  0000300Pct 7851                                          0000300000000000
Precinct  0000301Pct 7852                                          0000301000000000
Precinct  0000302Pct 7853                                          0000302000000000
Precinct  0000303Pct 7854                                          0000303000000000
Precinct  0000304Pct 7855                                          0000304000000000
Precinct  0000305Pct 7856                                          0000305000000000
Precinct  0000306Pct 7857                                          0000306000000000
Precinct  0000307Pct 7858                                          0000307000000000
Precinct  0000308Pct 7859                                          0000308000000000
Precinct  0000309Pct 7861                                          0000309000000000
Precinct  0000310Pct 7862                                          0000310000000000
Precinct  0000311Pct 7863                                          0000311000000000
Precinct  0000312Pct 7864                                          0000312000000000
Precinct  0000313Pct 7865                                          0000313000000000
Precinct  0000314Pct 7866                                          0000314000000000
Precinct  0000315Pct 7867                                          0000315000000000
Precinct  0000316Pct 7868                                          0000316000000000
Precinct  0000317Pct 7869                                          0000317000000000
Precinct  0000318Pct 7871                                          0000318000000000
Precinct  0000319Pct 7872                                          0000319000000000
Precinct  0000320Pct 7873                                          0000320000000000
Precinct  0000321Pct 7874                                          0000321000000000
Precinct  0000322Pct 7875                                          0000322000000000
Precinct  0000323Pct 7901                                          0000323000000000
Precinct  0000324Pct 7902                                          0000324000000000
Precinct  0000325Pct 7903                                          0000325000000000
Precinct  0000326Pct 7904                                          0000326000000000
Precinct  0000327Pct 7905                                          0000327000000000
Precinct  0000328Pct 7906                                          0000328000000000
Precinct  0000329Pct 7907                                          0000329000000000
Precinct  0000330Pct 7908                                          0000330000000000
Precinct  0000331Pct 7909                                          0000331000000000
Precinct  0000332Pct 7911                                          0000332000000000
Precinct  0000333Pct 7912                                          0000333000000000
Precinct  0000334Pct 7913                                          0000334000000000
Precinct  0000335Pct 7914                                          0000335000000000
Precinct  0000336Pct 7915                                          0000336000000000
Precinct  0000337Pct 7916                                          0000337000000000
Precinct  0000338Pct 7917                                          0000338000000000
Precinct  0000339Pct 7918                                          0000339000000000
Precinct  0000340Pct 7919                                          0000340000000000
Precinct  0000341Pct 7921                                          0000341000000000
Precinct  0000342Pct 7922                                          0000342000000000
Precinct  0000343Pct 7923                                          0000343000000000
Precinct  0000344Pct 7924                                          0000344000000000
Precinct  0000345Pct 7925                                          0000345000000000
Precinct  0000346Pct 7926                                          0000346000000000
Precinct  0000347Pct 7927                                          0000347000000000
Precinct  0000348Pct 7928                                          0000348000000000
Precinct  0000349Pct 7929                                          0000349000000000
Precinct  0000350Pct 7931                                          0000350000000000
Precinct  0000351Pct 7932                                          0000351000000000
Precinct  0000352Pct 7933 MB                                       0000352000000000
Precinct  0000353Pct 7934                                          0000353000000000
Precinct  0000354Pct 7935                                          0000354000000000
Precinct  0000355Pct 7936                                          0000355000000000
Precinct  0000356Pct 7937                                          0000356000000000
Precinct  0000357Pct 7938                                          0000357000000000
Precinct  0000358Pct 7939                                          0000358000000000
Precinct  0000359Pct 7941                                          0000359000000000
Precinct  0000360Pct 7942                                          0000360000000000
Precinct  0000361Pct 7943                                          0000361000000000
Precinct  0000362Pct 7944                                          0000362000000000
Precinct  0000363Pct 7945                                          0000363000000000
Precinct  0000364Pct 7946                                          0000364000000000
Precinct  0000365Pct 7947                                          0000365000000000
Precinct  0000366Pct 7948                                          0000366000000000
Precinct  0000367Pct 7949                                          0000367000000000
Precinct  0000368Pct 7951                                          0000368000000000
Precinct  0000369Pct 7952                                          0000369000000000
Precinct  0000370Pct 7953                                          0000370000000000
Precinct  0000371Pct 7954 MB                                       0000371000000000
Precinct  0000372Pct 7955                                          0000372000000000
Precinct  0000373Pct 7956                                          0000373000000000
Precinct  0000374Pct 7957                                          0000374000000000
Precinct  0000375Pct 7958 MB                                       0000375000000000
Precinct  0000376Pct 9001 MB                                       0000376000000000
Precinct  0000377Pct 9101                                          0000377000000000
Precinct  0000378Pct 9102                                          0000378000000000
Precinct  0000379Pct 9103                                          0000379000000000
Precinct  0000380Pct 9104                                          0000380000000000
Precinct  0000381Pct 9105                                          0000381000000000
Precinct  0000382Pct 9106                                          0000382000000000
Precinct  0000383Pct 9107                                          0000383000000000
Precinct  0000384Pct 9108                                          0000384000000000
Precinct  0000385Pct 9109                                          0000385000000000
Precinct  0000386Pct 9111                                          0000386000000000
Precinct  0000387Pct 9112                                          0000387000000000
Precinct  0000388Pct 9113                                          0000388000000000
Precinct  0000389Pct 9114                                          0000389000000000
Precinct  0000390Pct 9115                                          0000390000000000
Precinct  0000391Pct 9116                                          0000391000000000
Precinct  0000392Pct 9117                                          0000392000000000
Precinct  0000393Pct 9118                                          0000393000000000
Precinct  0000394Pct 9119                                          0000394000000000
Precinct  0000395Pct 9121                                          0000395000000000
Precinct  0000396Pct 9122                                          0000396000000000
Precinct  0000397Pct 9123                                          0000397000000000
Precinct  0000398Pct 9124                                          0000398000000000
Precinct  0000399Pct 9125                                          0000399000000000
Precinct  0000400Pct 9126                                          0000400000000000
Precinct  0000401Pct 9127                                          0000401000000000
Precinct  0000402Pct 9128                                          0000402000000000
Precinct  0000403Pct 9129                                          0000403000000000
Precinct  0000404Pct 9131                                          0000404000000000
Precinct  0000405Pct 9132                                          0000405000000000
Precinct  0000406Pct 9133                                          0000406000000000
Precinct  0000407Pct 9134                                          0000407000000000
Precinct  0000408Pct 9135                                          0000408000000000
Precinct  0000409Pct 9136                                          0000409000000000
Precinct  0000410Pct 9137                                          0000410000000000
Precinct  0000411Pct 9138                                          0000411000000000
Precinct  0000412Pct 9139                                          0000412000000000
Precinct  0000413Pct 9141                                          0000413000000000
Precinct  0000414Pct 9142                                          0000414000000000
